"attacking_mechdef_id","defending_mechdef_id","wins","total_battles"
mechdef_atlas_AS7-D,mechdef_atlas_AS7-D,60,100
mechdef_atlas_AS7-D,mechdef_atlas_AS7-D-HT,37,100
mechdef_atlas_AS7-D,mechdef_awesome_AWS-8Q,100,100
mechdef_atlas_AS7-D,mechdef_awesome_AWS-8T,100,100
mechdef_atlas_AS7-D,mechdef_banshee_BNC-3E,100,100
mechdef_atlas_AS7-D,mechdef_banshee_BNC-3M,100,100
mechdef_atlas_AS7-D,mechdef_banshee_BNC-3S,71,100
mechdef_atlas_AS7-D,mechdef_battlemaster_BLR-1G,97,100
mechdef_atlas_AS7-D,mechdef_blackjack_BJ-1,100,100
mechdef_atlas_AS7-D,mechdef_blackjack_BJ-1DB,100,100
mechdef_atlas_AS7-D,mechdef_blackknight_BL-6-KNT,100,100
mechdef_atlas_AS7-D,mechdef_blackknight_BL-6b-KNT,98,100
mechdef_atlas_AS7-D,mechdef_cataphract_CTF-1X,100,100
mechdef_atlas_AS7-D,mechdef_catapult_CPLT-C1,100,100
mechdef_atlas_AS7-D,mechdef_catapult_CPLT-C4,100,100
mechdef_atlas_AS7-D,mechdef_catapult_CPLT-K2,100,100
mechdef_atlas_AS7-D,mechdef_centurion_CN9-A,100,100
mechdef_atlas_AS7-D,mechdef_centurion_CN9-AL,100,100
mechdef_atlas_AS7-D,mechdef_centurion_CN9-AS,100,100
mechdef_atlas_AS7-D,mechdef_cicada_CDA-2A,100,100
mechdef_atlas_AS7-D,mechdef_cicada_CDA-3C,100,100
mechdef_atlas_AS7-D,mechdef_commando_COM-1B,100,100
mechdef_atlas_AS7-D,mechdef_commando_COM-2D,100,100
mechdef_atlas_AS7-D,mechdef_dragon_DRG-1N,100,100
mechdef_atlas_AS7-D,mechdef_enforcer_ENF-4R,100,100
mechdef_atlas_AS7-D,mechdef_firestarter_FS9-H,55,100
mechdef_atlas_AS7-D,mechdef_grasshopper_GHR-5H,100,100
mechdef_atlas_AS7-D,mechdef_griffin_GRF-1N,100,100
mechdef_atlas_AS7-D,mechdef_griffin_GRF-1S,100,100
mechdef_atlas_AS7-D,mechdef_griffin_GRF-4N,100,100
mechdef_atlas_AS7-D,mechdef_griffin_GRF-4N_fp_greed,100,100
mechdef_atlas_AS7-D,mechdef_highlander_HGN-732b,81,100
mechdef_atlas_AS7-D,mechdef_highlander_HGN-733,93,100
mechdef_atlas_AS7-D,mechdef_highlander_HGN-733P,94,100
mechdef_atlas_AS7-D,mechdef_hunchback_HBK-4G,100,100
mechdef_atlas_AS7-D,mechdef_hunchback_HBK-4P,100,100
mechdef_atlas_AS7-D,mechdef_jagermech_JM6-A,100,100
mechdef_atlas_AS7-D,mechdef_jagermech_JM6-S,100,100
mechdef_atlas_AS7-D,mechdef_jenner_JR7-D,100,100
mechdef_atlas_AS7-D,mechdef_kingcrab_KGC-0000,87,100
mechdef_atlas_AS7-D,mechdef_kingcrab_KGC-V-0000,74,100
mechdef_atlas_AS7-D,mechdef_kintaro_KTO-18,100,100
mechdef_atlas_AS7-D,mechdef_locust_LCT-1M,100,100
mechdef_atlas_AS7-D,mechdef_locust_LCT-1S,100,100
mechdef_atlas_AS7-D,mechdef_locust_LCT-1V,100,100
mechdef_atlas_AS7-D,mechdef_orion_ON1-K,100,100
mechdef_atlas_AS7-D,mechdef_orion_ON1-V,100,100
